Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2005-01-04,,,0.0,0.0,,,,0.0,0.0,0.0,,406.0,,,,180.0,,,150.0,0.0,,,,,,,,,,0.0,0.0,,7.0,80.0,,153.0,,0.0,
2005-01-05,,,0.0,0.0,,,,0.0,0.0,0.0,,369.0,,,,150.0,,,60.0,0.0,,,,,,,,,,10.0,32.0,,5.0,1205.0,,80.0,,0.0,
2005-01-06,,,0.0,0.0,,,,0.0,0.0,0.0,,290.0,,,,88.0,,,88.0,0.0,,,,,,,,,,10.0,32.0,,7.0,1984.0,,96.0,,0.0,
2005-01-07,,,0.0,0.0,,,,0.0,0.0,0.0,,269.0,,,,45.0,,,4.0,0.0,,,,,,,,,,0.0,39.0,,12.0,2209.0,,18.0,,0.0,
2005-01-10,,,0.0,0.0,,,,0.0,0.0,0.0,,674.0,,,,42.0,,,86.0,0.0,,,,,,,,,,0.0,31.0,,0.0,627.0,,10.0,,0.0,
2005-01-11,,,0.0,0.0,,,,1.0,10.0,0.0,,617.0,,,,113.0,,,46.0,0.0,,,,,,,,,,0.0,28.0,,0.0,3.0,,15.0,,0.0,
2005-01-12,,,0.0,0.0,,,,10.0,5.0,0.0,,317.0,,,,5.0,,,17.0,0.0,,,,,,,,,,0.0,28.0,,0.0,5.0,,14.0,,0.0,
2005-01-13,,,6.0,0.0,,,,0.0,36.0,0.0,,205.0,,,,19.0,,,36.0,0.0,,,,,,,,,,0.0,38.0,,0.0,42.0,,17.0,,0.0,
2005-01-14,,,1.0,0.0,,,,10.0,20.0,0.0,,60.0,,,,2.0,,,36.0,0.0,,,,,,,,,,0.0,33.0,,0.0,0.0,,57.0,,0.0,
2005-01-17,,,,0.0,,,,,,,,,,,,0.0,,,15.0,,,,,,,,,,,0.0,59.0,,,0.0,,,,,
2005-01-18,,,20.0,0.0,,,,5.0,1.0,0.0,,637.0,,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,,0.0,0.0,,58.0,,0.0,
2005-01-19,,,0.0,0.0,,,,0.0,0.0,0.0,,590.0,,,,2.0,,,77.0,1.0,,,,,,,,,,0.0,42.0,,88.0,82.0,,145.0,,0.0,
2005-01-20,,,19.0,0.0,,,,26.0,11.0,0.0,,563.0,,,,51.0,,,94.0,2.0,,,,,,,,,,0.0,47.0,,0.0,0.0,,145.0,,0.0,
2005-01-21,,,10.0,0.0,,,,2.0,0.0,0.0,,1057.0,,,,2.0,,,44.0,0.0,,,,,,,,,,0.0,39.0,,0.0,0.0,,247.0,,0.0,
2005-01-24,,,0.0,0.0,,,,0.0,0.0,0.0,,658.0,,,,0.0,,,14.0,0.0,,,,,,,,,,0.0,42.0,,5.0,0.0,,616.0,,0.0,
2005-01-25,,,0.0,0.0,,,,0.0,5.0,0.0,,687.0,,,,121.0,,,6.0,0.0,,,,,,,,,,0.0,44.0,,47.0,48.0,,339.0,,0.0,
2005-01-26,,,5.0,0.0,,,,0.0,11.0,0.0,,442.0,,,,149.0,,,9.0,0.0,,,,,,,,,,10.0,29.0,,21.0,50.0,,1362.0,,0.0,
2005-01-27,,,10.0,0.0,,,,0.0,0.0,0.0,,741.0,,,,83.0,,,13.0,0.0,,,,,,,,,,0.0,121.0,,101.0,56.0,,929.0,,0.0,
2005-01-28,,,0.0,0.0,,,,0.0,0.0,0.0,,940.0,,,,11.0,,,54.0,0.0,,,,,,,,,,60.0,30.0,,114.0,37.0,,297.0,,0.0,
2005-01-31,,,0.0,0.0,,,,0.0,0.0,0.0,,808.0,,,,119.0,,,68.0,0.0,,,,,,,,,,40.0,46.0,,33.0,4.0,,793.0,,0.0,
2005-02-01,,,0.0,0.0,,,,0.0,1.0,0.0,,843.0,,,,91.0,,,176.0,0.0,,,,,,,,,,10.0,46.0,,58.0,60.0,,429.0,,0.0,
